CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2
098020,COMAZZO,LODI,1309,470
020068,VILLIMPENTA,MANTOVA,1158,467
016180,RIVA DI SOLTO,BERGAMO,642,378
018053,COPIANO,PAVIA,1126,541
018009,BASCAPE',PAVIA,1130,498
012060,CUNARDO,VARESE,1587,781
012049,CAZZAGO BRABBIA,VARESE,470,235
017166,ROVATO,BRESCIA,11351,4691
018027,CANDIA LOMELLINA,PAVIA,859,429
017067,DESENZANO DEL GARDA,BRESCIA,17012,7998
013022,BEREGAZZO CON FIGLIARO,COMO,1725,801
019063,OLMENETA,CREMONA,588,267
012056,CREMENAGA,VARESE,391,200
017204,VOBARNO,BRESCIA,4757,2005
108003,ALBIATE,MONZA E DELLA BRIANZA,4002,1790
019103,STAGNO LOMBARDO,CREMONA,980,490
098001,ABBADIA CERRETO,LODI,207,88
015087,CORNAREDO,MILANO,13648,6312
015134,MARCALLO CON CASONE,MILANO,3935,1690
018048,CHIGNOLO PO,PAVIA,2309,1147
012061,CURIGLIA CON MONTEVIASCO,VARESE,84,49
016071,CERETE,BERGAMO,1129,594
013085,CUSINO,COMO,136,47
015108,GORGONZOLA,MILANO,12964,5719
012082,INARZO,VARESE,657,299
015237,VIGNATE,MILANO,5714,2415
020007,BOZZOLO,MANTOVA,2278,1157
097086,VERCURAGO,LECCO,1993,1025
097020,CERNUSCO LOMBARDONE,LECCO,2515,1162
016097,FARA OLIVANA CON SOLA,BERGAMO,797,349
018045,CERGNAGO,PAVIA,424,211
019073,PIERANICA,CREMONA,745,319
014022,CIVO,SONDRIO,753,357
013199,RONAGO,COMO,978,415
012069,FERRERA DI VARESE,VARESE,374,164
018187,ZENEVREDO,PAVIA,282,133
012054,COMABBIO,VARESE,691,313
098017,CAVENAGO D'ADDA,LODI,1376,616
098025,CRESPIATICA,LODI,1308,515
019076,PIZZIGHETTONE,CREMONA,4229,2101
020047,QUISTELLO,MANTOVA,3233,1519
097035,ESINO LARIO,LECCO,498,270
015085,CORBETTA,MILANO,11752,5360
012116,RANCO,VARESE,686,301
013245,VILLA GUARDIA,COMO,5184,2361
017069,ERBUSCO,BRESCIA,5532,2174
019108,TORRICELLA DEL PIZZO,CREMONA,321,143
018127,ROGNANO,PAVIA,348,111
108053,CORNATE D'ADDA,MONZA E DELLA BRIANZA,6559,2801
016147,OLTRESSENDA ALTA,BERGAMO,108,57
018169,VALLE SALIMBENE,PAVIA,1027,492
016174,PREDORE,BERGAMO,1272,758
016023,BERBENNO,BERGAMO,1638,863
017055,CIVIDATE CAMUNO,BRESCIA,1843,903
018192,CORTEOLONA E GENZONE,PAVIA,1414,685
017056,COCCAGLIO,BRESCIA,5411,2255
014078,VILLA DI TIRANO,SONDRIO,1964,1040
016213,TERNO D'ISOLA,BERGAMO,4480,1836
108004,ARCORE,MONZA E DELLA BRIANZA,11372,4962
013074,COLONNO,COMO,284,148
016210,TALEGGIO,BERGAMO,298,154
012053,COCQUIO-TREVISAGO,VARESE,2892,1463
012045,CASTELVECCANA,VARESE,1101,560
016017,AZZONE,BERGAMO,265,120
016076,CIVIDATE AL PIANO,BERGAMO,3211,1889
018005,ARENA PO,PAVIA,938,478
017023,BOTTICINO,BRESCIA,7481,3198
016119,GRONE,BERGAMO,492,247
018102,MORTARA,PAVIA,8701,4054
012114,PORTO VALTRAVAGLIA,VARESE,1363,735
017162,ROCCAFRANCA,BRESCIA,2674,1310
017017,BERZO INFERIORE,BRESCIA,1705,847
012032,CARDANO AL CAMPO,VARESE,8776,3981
016169,PONTERANICA,BERGAMO,4253,2227
014024,COSIO VALTELLINO,SONDRIO,3533,1621
013228,UGGIATE-TREVANO,COMO,3183,1325
013036,CADORAGO,COMO,5025,2248
020050,RIVAROLO MANTOVANO,MANTOVA,1497,807
013021,BENE LARIO,COMO,199,65
016178,RANICA,BERGAMO,3809,1935
014016,CEDRASCO,SONDRIO,302,160
013007,ALZATE BRIANZA,COMO,3523,1596
098041,MULAZZANO,LODI,3810,1604
013233,VAL REZZO,COMO,71,19
018016,BORGO PRIOLO,PAVIA,756,401
016018,BAGNATICA,BERGAMO,2684,1162
013013,ASSO,COMO,2321,1078
013089,DOMASO,COMO,951,464
017075,GARDONE VAL TROMPIA,BRESCIA,7296,3438
017134,PARATICO,BRESCIA,3005,1571
018141,SANT'ALESSIO CON VIALONE,PAVIA,619,274
019029,CHIEVE,CREMONA,1388,562
018161,TORRICELLA VERZATE,PAVIA,528,293
016060,CASNIGO,BERGAMO,1928,928
020056,SAN GIACOMO DELLE SEGNATE,MANTOVA,949,396
012063,CUVIO,VARESE,1022,513
012016,BODIO LOMNAGO,VARESE,1523,821
018111,PIETRA DE' GIORGI,PAVIA,453,235
020053,ROVERBELLA,MANTOVA,4540,1801
019098,SORESINA,CREMONA,5136,2856
020070,VOLTA MANTOVANA,MANTOVA,3985,1774
017036,CAPOVALLE,BRESCIA,238,110
098015,CASTIRAGA VIDARDO,LODI,1758,769
012003,ANGERA,VARESE,3321,1648
013246,ZELBIO,COMO,91,37
012014,BIANDRONNO,VARESE,2056,999
013026,BLEVIO,COMO,720,333
108033,MONZA,MONZA E DELLA BRIANZA,78310,37382
013023,BINAGO,COMO,3045,1297
019115,VOLTIDO,CREMONA,222,102
015151,MOTTA VISCONTI,MILANO,4930,2022
019046,GADESCO PIEVE DELMONA,CREMONA,1184,573
015230,VAPRIO D'ADDA,MILANO,5323,2328
017152,PRALBOINO,BRESCIA,1828,828
019081,RIPALTA CREMASCA,CREMONA,2331,1046
108007,BERNAREGGIO,MONZA E DELLA BRIANZA,7196,2877
016107,GANDELLINO,BERGAMO,681,351
012084,ISPRA,VARESE,3147,1634
016245,ZANICA,BERGAMO,5284,2153
018165,TROVO,PAVIA,579,225
013012,AROSIO,COMO,3517,1527
016153,OSIO SOTTO,BERGAMO,7560,3291
017144,POLAVENO,BRESCIA,1661,725
