CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2
012012,BESNATE,VARESE,2965,1368
016030,BONATE SOPRA,BERGAMO,4898,2027
019109,TRESCORE CREMASCO,CREMONA,1440,656
097007,BARZIO,LECCO,788,369
108046,VEDANO AL LAMBRO,MONZA E DELLA BRIANZA,4767,2385
015106,GESSATE,MILANO,4658,2024
097038,GARLATE,LECCO,1570,771
017127,OSPITALETTO,BRESCIA,7975,3150
098056,TAVAZZANO CON VILLAVESCO,LODI,3519,1490
012046,CASTIGLIONE OLONA,VARESE,4317,1925
017152,PRALBOINO,BRESCIA,1500,744
016097,FARA OLIVANA CON SOLA,BERGAMO,698,320
017015,BERLINGO,BRESCIA,1402,604
097077,SUEGLIO,LECCO,79,41
016249,CORNALBA,BERGAMO,145,85
108020,COGLIATE,MONZA E DELLA BRIANZA,4707,1948
014062,SPRIANA,SONDRIO,48,17
019074,PIEVE D'OLMI,CREMONA,730,393
017001,ACQUAFREDDA,BRESCIA,793,304
013232,VALMOREA,COMO,1496,632
013199,RONAGO,COMO,875,354
020066,VIADANA,MANTOVA,8495,4007
016142,MOZZANICA,BERGAMO,2474,1074
019036,CREMONA,CREMONA,40877,23196
015229,VANZAGO,MILANO,5214,2189
016172,PONTIROLO NUOVO,BERGAMO,2463,1149
014038,LOVERO,SONDRIO,361,159
016047,CALVENZANO,BERGAMO,2369,1128
013037,CAGLIO,COMO,302,146
097076,SIRTORI,LECCO,1600,628
012059,CUGLIATE-FABIASCO,VARESE,1568,621
017185,TIGNALE,BRESCIA,699,360
019100,SPINADESCO,CREMONA,841,387
015005,ALBAIRATE,MILANO,2622,1070
020011,CASALOLDO,MANTOVA,1206,547
013118,INVERIGO,COMO,5431,2145
016003,ALBANO SANT'ALESSANDRO,BERGAMO,4180,1844
018035,CASSOLNOVO,PAVIA,3509,1438
017159,QUINZANO D'OGLIO,BRESCIA,3531,1628
012073,GAZZADA SCHIANNO,VARESE,2599,1258
013186,POGNANA LARIO,COMO,400,168
016043,CALCINATE,BERGAMO,2988,1196
014014,CASTELLO DELL'ACQUA,SONDRIO,369,183
015077,CINISELLO BALSAMO,MILANO,38442,18132
018005,ARENA PO,PAVIA,847,408
019106,TORNATA,CREMONA,186,96
014070,TRESIVIO,SONDRIO,1201,497
016190,SAN PELLEGRINO TERME,BERGAMO,2824,1544
017116,MUSCOLINE,BRESCIA,1299,559
019031,CINGIA DE' BOTTI,CREMONA,824,563
097008,BELLANO,LECCO,2215,1236
108031,MEZZAGO,MONZA E DELLA BRIANZA,2271,905
017133,PALAZZOLO SULL'OGLIO,BRESCIA,10638,6064
015061,CASSINETTA DI LUGAGNANO,MILANO,1062,440
015072,CERRO MAGGIORE,MILANO,8153,3751
012132,VARANO BORGHI,VARESE,1292,590
016210,TALEGGIO,BERGAMO,270,129
019061,MOTTA BALUFFI,CREMONA,463,251
013252,TREMEZZINA,COMO,2886,1230
017166,ROVATO,BRESCIA,9409,4128
012005,ARSAGO SEPRIO,VARESE,2412,1011
016230,VEDESETA,BERGAMO,127,64
012075,GERENZANO,VARESE,5710,2348
019040,DEROVERE,CREMONA,165,89
015154,NERVIANO,MILANO,9572,4536
019091,SAN MARTINO DEL LAGO,CREMONA,225,130
016072,CHIGNOLO D'ISOLA,BERGAMO,1539,583
016121,ISOLA DI FONDRA,BERGAMO,104,58
017170,SALO',BRESCIA,5759,2950
018112,PIEVE ALBIGNOLA,PAVIA,485,246
019096,SOLAROLO RAINERIO,CREMONA,511,268
016168,PONTE NOSSA,BERGAMO,1177,598
016165,PIAZZATORRE,BERGAMO,223,115
012141,SANGIANO,VARESE,759,350
016185,RONCOLA,BERGAMO,401,185
012009,BARDELLO,VARESE,882,404
019051,GRUMELLO CREMONESE ED UNITI,CREMONA,935,509
017174,SAREZZO,BRESCIA,7493,3306
017137,PAVONE DEL MELLA,BRESCIA,1407,667
018002,ALBAREDO ARNABOLDI,PAVIA,138,68
018067,GAMBARANA,PAVIA,111,70
017187,TOSCOLANO-MADERNO,BRESCIA,3899,1989
018090,MEZZANA BIGLI,PAVIA,563,346
014061,SONDRIO,SONDRIO,12788,6179
015044,CAMBIAGO,MILANO,3575,1382
016035,BRACCA,BERGAMO,354,168
012061,CURIGLIA CON MONTEVIASCO,VARESE,81,43
012090,LONATE POZZOLO,VARESE,5978,2779
017086,ISORELLA,BRESCIA,2108,1019
015206,SENAGO,MILANO,11151,4645
017079,GIANICO,BRESCIA,1304,528
016069,CENATE SOTTO,BERGAMO,1898,813
016156,PALAZZAGO,BERGAMO,2235,978
018065,FRASCAROLO,PAVIA,600,314
017060,COMEZZANO-CIZZAGO,BRESCIA,1789,740
016215,TORRE DE' BUSI,BERGAMO,1244,498
019012,CAPERGNANICA,CREMONA,1268,584
018163,TRIVOLZIO,PAVIA,1270,509
018097,MONTESCANO,PAVIA,232,109
017026,BRANDICO,BRESCIA,906,332
018082,LIRIO,PAVIA,69,30
012127,TRADATE,VARESE,10229,4693
013137,LURAGO MARINONE,COMO,1332,521
019007,BORDOLANO,CREMONA,312,152
098028,GRAFFIGNANA,LODI,1559,711
013013,ASSO,COMO,2166,918
019114,VOLONGO,CREMONA,244,117
016086,COSTA VOLPINO,BERGAMO,5761,2575
015050,CARPIANO,MILANO,2052,819
019015,CAPRALBA,CREMONA,1378,712
013123,LASNIGO,COMO,265,93
017169,SALE MARASINO,BRESCIA,1941,946
012086,LAVENA PONTE TRESA,VARESE,2793,1139
012085,JERAGO CON ORAGO,VARESE,2825,1268
017091,LOGRATO,BRESCIA,2138,920
016216,TORRE DE' ROVERI,BERGAMO,1334,574
015076,CESATE,MILANO,7599,3111
016232,VERDELLINO,BERGAMO,3515,1474
017053,CIGOLE,BRESCIA,801,363
018162,TRAVACO' SICCOMARIO,PAVIA,2543,1264
015085,CORBETTA,MILANO,10360,4457
015014,BASIANO,MILANO,1983,820
019060,MOSCAZZANO,CREMONA,440,200
014022,CIVO,SONDRIO,651,291
016207,STEZZANO,BERGAMO,7194,3228
012048,CAVARIA CON PREMEZZO,VARESE,2879,1290
015040,BUSSERO,MILANO,5019,2224
015086,CORMANO,MILANO,10836,4727
017090,LODRINO,BRESCIA,931,442
015062,CASTANO PRIMO,MILANO,5498,2510
013197,RODERO,COMO,634,244
097044,LOMAGNA,LECCO,2814,1134
013095,ERBA,COMO,10660,4700
013089,DOMASO,COMO,862,406
018068,GAMBOLO',PAVIA,5057,2279
097063,PAGNONA,LECCO,208,85
016078,COLERE,BERGAMO,751,258
018076,GROPELLO CAIROLI,PAVIA,2409,1038
013085,CUSINO,COMO,121,39
013216,SORICO,COMO,639,265
017132,PAITONE,BRESCIA,991,448
097043,LIERNA,LECCO,1231,513
019019,CASALETTO DI SOPRA,CREMONA,256,134
017142,PIAN CAMUNO,BRESCIA,2568,965
017042,CASTEL MELLA,BRESCIA,6211,2488
016225,VALGOGLIO,BERGAMO,317,270
097042,LECCO,LECCO,28692,14482
016214,TORRE BOLDONE,BERGAMO,4891,2511
013222,TAVERNERIO,COMO,3838,1636
108027,LIMBIATE,MONZA E DELLA BRIANZA,17510,7679
098041,MULAZZANO,LODI,3244,1396
012108,OLGIATE OLONA,VARESE,6627,2990
018175,VERRUA PO,PAVIA,751,359
015026,BOFFALORA SOPRA TICINO,MILANO,2324,899
015022,BESATE,MILANO,1013,413
012087,LAVENO-MOMBELLO,VARESE,5093,2520
108021,CONCOREZZO,MONZA E DELLA BRIANZA,8977,3863
020059,SAN MARTINO DALL'ARGINE,MANTOVA,880,465
098033,MACCASTORNA,LODI,36,11
108013,BURAGO DI MOLGORA,MONZA E DELLA BRIANZA,2374,964
015171,PESCHIERA BORROMEO,MILANO,13454,5640
