CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2
097017,CASSAGO BRIANZA,LECCO,2752,1170
016118,GROMO,BERGAMO,734,362
020001,ACQUANEGRA SUL CHIESE,MANTOVA,1594,806
018139,SANTA CRISTINA E BISSONE,PAVIA,1136,474
018109,PARONA,PAVIA,1059,474
016155,PALADINA,BERGAMO,2255,1065
098023,CORNOVECCHIO,LODI,133,53
016238,VILLA D'ADDA,BERGAMO,2765,1273
016196,SEDRINA,BERGAMO,1346,597
012066,DUNO,VARESE,74,30
018136,SAN GIORGIO DI LOMELLINA,PAVIA,587,344
020046,QUINGENTOLE,MANTOVA,672,280
018120,REDAVALLE,PAVIA,588,252
015230,VAPRIO D'ADDA,MILANO,5032,2146
018175,VERRUA PO,PAVIA,800,376
015044,CAMBIAGO,MILANO,3887,1508
012055,COMERIO,VARESE,1736,866
012121,SOLBIATE ARNO,VARESE,2254,1024
013178,PEGLIO,COMO,84,39
012051,CITTIGLIO,VARESE,2208,984
012046,CASTIGLIONE OLONA,VARESE,4571,2039
108051,BUSNAGO,MONZA E DELLA BRIANZA,3782,1540
018079,LANGOSCO,PAVIA,188,106
097079,TACENO,LECCO,347,151
017087,LAVENONE,BRESCIA,294,132
013074,COLONNO,COMO,273,120
014061,SONDRIO,SONDRIO,13501,6662
020020,COMMESSAGGIO,MANTOVA,575,302
017163,RODENGO-SAIANO,BRESCIA,6359,2457
015115,LACCHIARELLA,MILANO,5246,2121
015183,ROBECCHETTO CON INDUNO,MILANO,2733,1083
097058,OLGIATE MOLGORA,LECCO,3811,1744
017068,EDOLO,BRESCIA,2841,1311
020017,CASTIGLIONE DELLE STIVIERE,MANTOVA,11103,4764
016201,SONGAVAZZO,BERGAMO,487,200
012090,LONATE POZZOLO,VARESE,6404,2984
097091,VERDERIO,LECCO,3431,1495
017093,LONGHENA,BRESCIA,398,175
013153,MONGUZZO,COMO,1529,576
013163,NOVEDRATE,COMO,1847,750
019014,CAPPELLA DE' PICENARDI,CREMONA,184,96
016223,VALBONDIONE,BERGAMO,647,303
012077,GOLASECCA,VARESE,1431,630
016186,ROTA D'IMAGNA,BERGAMO,558,270
017044,CASTO,BRESCIA,897,327
019108,TORRICELLA DEL PIZZO,CREMONA,300,139
013077,CORRIDO,COMO,421,118
016206,SPIRANO,BERGAMO,3226,1397
013155,MONTEMEZZO,COMO,151,66
012018,BREGANO,VARESE,470,212
017181,SONICO,BRESCIA,797,330
017116,MUSCOLINE,BRESCIA,1453,592
108017,CAVENAGO DI BRIANZA,MONZA E DELLA BRIANZA,4164,1633
108054,LENTATE SUL SEVESO,MONZA E DELLA BRIANZA,9539,4214
019054,IZANO,CREMONA,1256,526
019043,FIESCO,CREMONA,682,313
015184,ROBECCO SUL NAVIGLIO,MILANO,4098,1652
013097,EUPILIO,COMO,1742,704
016222,URGNANO,BERGAMO,5547,2468
017072,FLERO,BRESCIA,5578,2269
017113,MONTICHIARI,BRESCIA,12719,4943
016086,COSTA VOLPINO,BERGAMO,5901,2714
098017,CAVENAGO D'ADDA,LODI,1275,554
098050,SANT'ANGELO LODIGIANO,LODI,7374,3453
016080,COLZATE,BERGAMO,888,422
017077,GAVARDO,BRESCIA,6697,2985
016208,STROZZA,BERGAMO,638,283
