CODISTAT_COMUNE_DOM,COMUNE_DOM,PROVINCIA_DOM,TOT_DOSE1,TOT_DOSE2
016203,SOTTO IL MONTE GIOVANNI XXIII,BERGAMO,2216,898
016125,LENNA,BERGAMO,299,180
018063,FILIGHERA,PAVIA,454,205
020046,QUINGENTOLE,MANTOVA,583,246
098003,BOFFALORA D'ADDA,LODI,1025,391
019053,ISOLA DOVARESE,CREMONA,686,390
013159,MOZZATE,COMO,4286,1631
013170,ORSENIGO,COMO,1672,583
012074,GEMONIO,VARESE,1504,577
016121,ISOLA DI FONDRA,BERGAMO,102,52
019104,TICENGO,CREMONA,218,94
015136,MASATE,MILANO,1681,679
016209,SUISIO,BERGAMO,1772,629
097022,CIVATE,LECCO,2288,1027
016154,PAGAZZANO,BERGAMO,1047,481
019072,PIANENGO,CREMONA,1352,624
019025,CASTELLEONE,CREMONA,5072,2658
020014,CASTEL D'ARIO,MANTOVA,2045,841
012034,CARONNO PERTUSELLA,VARESE,8413,3004
015166,PADERNO DUGNANO,MILANO,24702,9365
108047,VEDUGGIO CON COLZANO,MONZA E DELLA BRIANZA,2460,940
015042,CALVIGNASCO,MILANO,579,220
013157,MONTORFANO,COMO,1539,560
013189,PORLEZZA,COMO,2344,885
097062,PADERNO D'ADDA,LECCO,2094,889
015140,MELEGNANO,MILANO,9601,4429
012031,CARAVATE,VARESE,1348,489
016056,CARONA,BERGAMO,156,89
014036,LANZADA,SONDRIO,783,335
016072,CHIGNOLO D'ISOLA,BERGAMO,1405,513
019087,SALVIROLA,CREMONA,562,245
018141,SANT'ALESSIO CON VIALONE,PAVIA,513,217
018114,PIEVE PORTO MORONE,PAVIA,1281,562
015044,CAMBIAGO,MILANO,3251,1198
018158,TORRE DE' NEGRI,PAVIA,188,91
097032,DORIO,LECCO,212,98
015184,ROBECCO SUL NAVIGLIO,MILANO,3577,1378
018052,CONFIENZA,PAVIA,691,282
018023,BRESSANA BOTTARONE,PAVIA,1803,838
014047,PEDESINA,SONDRIO,22,15
016244,ZANDOBBIO,BERGAMO,1276,592
015134,MARCALLO CON CASONE,MILANO,3255,1274
015175,PIOLTELLO,MILANO,16028,6712
016200,SOLTO COLLINA,BERGAMO,1107,486
012099,MARZIO,VARESE,171,83
018147,SCALDASOLE,PAVIA,449,198
098055,SORDIO,LODI,1753,692
013026,BLEVIO,COMO,640,251
012015,BISUSCHIO,VARESE,2239,815
017205,ZONE,BRESCIA,573,266
108018,CERIANO LAGHETTO,MONZA E DELLA BRIANZA,3360,1291
016106,FUIPIANO VALLE IMAGNA,BERGAMO,115,63
017150,PONTOGLIO,BRESCIA,3268,2092
013075,COMO,COMO,47658,20807
097042,LECCO,LECCO,27545,13298
017121,ODOLO,BRESCIA,862,377
018091,MEZZANA RABATTONE,PAVIA,241,115
097016,CASATENOVO,LECCO,7341,3022
